MarketID,MarketName,CountryID,MarketType
1,Market A,1,Online
2,Market B,2,Retail
3,Market C,3,Wholesale
4,Market D,4,Online
5,Market E,5,Retail
6,Market F,6,Retail
7,Market G,7,Online
8,Market H,8,Wholesale
9,Market I,9,Online
10,Market J,10,Retail
11,Market K,11,Wholesale
12,Market L,12,Online
13,Market M,13,Retail
14,Market N,14,Wholesale
15,Market O,15,Retail
16,Market P,16,Online
17,Market Q,17,Online
18,Market R,18,Retail
19,Market S,19,Wholesale
20,Market T,20,Online
21,Market U,21,Online
22,Market V,22,Retail
23,Market W,23,Wholesale
24,Market X,24,Online
25,Market Y,25,Retail
26,Market Z,26,Retail
27,Market A1,27,Online
28,Market B1,28,Wholesale
29,Market C1,29,Online
30,Market D1,30,Retail
31,Market E1,31,Wholesale
32,Market F1,32,Online
33,Market G1,33,Retail
34,Market H1,34,Wholesale
35,Market I1,35,Retail
36,Market J1,36,Online
37,Market K1,37,Online
38,Market L1,38,Retail
39,Market M1,39,Wholesale
40,Market N1,40,Online
41,Market U2,41,Online
42,Market V2,42,Retail
43,Market W2,43,Wholesale
44,Market X2,44,Online
45,Market Y2,45,Retail
46,Market Z2,46,Retail
47,Market A2,47,Online
48,Market B2,48,Wholesale
49,Market C2,49,Online
50,Market D2,50,Retail
51,Market E2,51,Wholesale
52,Market F2,52,Online
53,Market G2,53,Retail
54,Market H2,54,Wholesale
55,Market I2,55,Retail
56,Market J2,56,Online
57,Market K2,57,Online
58,Market L2,58,Retail
59,Market M2,59,Wholesale
60,Market N2,60,Online
61,Market U3,61,Online
62,Market V3,62,Retail
63,Market W3,63,Wholesale
64,Market X3,64,Online
65,Market Y3,65,Retail
66,Market Z3,66,Retail
67,Market A3,67,Online
68,Market B3,68,Wholesale
69,Market C3,69,Online
70,Market D3,70,Retail
71,Market E3,71,Wholesale
72,Market F3,72,Online
73,Market G3,73,Retail
74,Market H3,74,Wholesale
75,Market I3,75,Retail
76,Market J3,76,Online
77,Market K3,77,Online
78,Market L3,78,Retail
79,Market M3,79,Wholesale
80,Market N3,80,Online
81,Market U4,81,Online
82,Market V4,82,Retail
83,Market W4,83,Wholesale
84,Market X4,84,Online
85,Market Y4,85,Retail
86,Market Z4,86,Retail
87,Market A4,87,Online
88,Market B4,88,Wholesale
89,Market C4,89,Online
90,Market D4,90,Retail
91,Market E4,91,Wholesale
92,Market F4,92,Online
93,Market G4,93,Retail
94,Market H4,94,Wholesale
95,Market I4,95,Retail
96,Market J4,96,Online
97,Market K4,97,Online
98,Market L4,98,Retail
99,Market M4,99,Wholesale
100,Market N4,100,Online
