SalesID,ProductID,CustomerID,MarketID,SalesDate,Quantity,Revenue,KPIProfit
1,1,1,1,1/1/2023,10,10000,2000
2,2,2,2,1/2/2023,5,4000,1000
3,3,3,3,1/3/2023,3,4500,900
4,4,4,4,1/4/2023,7,1400,350
5,5,5,5,1/5/2023,4,2800,800
6,6,6,6,1/6/2023,6,3600,1200
7,7,7,7,1/7/2023,8,2400,400
8,8,8,8,1/8/2023,9,2250,450
9,9,9,9,1/9/2023,2,2400,600
10,10,10,10,1/10/2023,5,4500,1000
11,11,11,11,1/11/2023,4,7200,1600
12,12,12,12,1/12/2023,6,1320,300
13,13,13,13,1/13/2023,2,1600,400
14,14,14,14,1/14/2023,3,1950,600
15,15,15,15,1/15/2023,7,2450,490
16,16,16,16,1/16/2023,8,2400,400
17,17,17,17,1/17/2023,1,1300,300
18,18,18,18,1/18/2023,5,4750,1000
19,19,19,19,1/19/2023,2,4000,800
20,20,20,20,1/20/2023,9,2250,450
21,21,11,11,1/21/2023,8,240,50
22,22,12,12,1/22/2023,10,500,150
23,23,13,13,1/23/2023,5,1500,800
24,24,14,14,1/24/2023,3,600,150
25,25,15,15,1/25/2023,6,900,300
26,26,16,16,1/26/2023,4,200,50
27,27,17,17,1/27/2023,7,1050,250
28,28,18,18,1/28/2023,9,1350,450
29,29,19,19,1/29/2023,2,160,40
30,30,20,20,1/30/2023,5,250,100
31,31,1,1,1/31/2023,6,1800,1000
32,32,2,2,2/1/2023,8,4000,1200
33,33,3,3,2/2/2023,4,2800,800
34,34,4,4,2/3/2023,7,2100,600
35,35,5,5,2/4/2023,3,600,200
36,36,6,6,2/5/2023,5,1500,700
37,37,7,7,2/6/2023,2,400,100
38,38,8,8,2/7/2023,4,320,120
39,39,9,9,2/8/2023,10,800,400
40,40,10,10,2/9/2023,6,900,300
41,41,21,21,2/21/2023,8,640,240
42,42,22,22,2/22/2023,10,2000,800
43,43,23,23,2/23/2023,5,6000,3000
44,44,24,24,2/24/2023,3,750,300
45,45,25,25,2/25/2023,6,1800,600
46,46,26,26,2/26/2023,4,200,100
47,47,27,27,2/27/2023,7,3500,1500
48,48,28,28,2/28/2023,9,2700,1200
49,49,29,29,3/1/2023,2,160,80
50,50,30,30,3/2/2023,5,500,200
51,51,31,31,3/3/2023,6,3600,1800
52,52,32,32,3/4/2023,8,3200,1600
53,53,33,33,3/5/2023,4,3200,1600
54,54,34,34,3/6/2023,7,1400,700
55,55,35,35,3/7/2023,3,900,300
56,56,36,36,3/8/2023,5,2500,1500
57,57,37,37,3/9/2023,2,800,400
58,58,38,38,3/10/2023,4,640,240
59,59,39,39,3/11/2023,10,1000,400
60,60,40,40,3/12/2023,6,1200,600
61,41,41,41,3/13/2023,4,320,160
62,42,42,42,3/14/2023,6,1200,600
63,43,43,43,3/15/2023,8,9600,4800
64,44,44,44,3/16/2023,3,750,300
65,45,45,45,3/17/2023,7,2100,700
66,46,46,46,3/18/2023,5,250,125
67,47,47,47,3/19/2023,2,1000,400
68,48,48,48,3/20/2023,9,2700,1200
69,49,49,49,3/21/2023,1,80,40
70,50,50,50,3/22/2023,4,400,160
71,51,51,51,3/23/2023,3,1800,900
72,52,52,52,3/24/2023,7,2800,1400
73,53,53,53,3/25/2023,5,4000,2000
74,54,54,54,3/26/2023,6,1200,600
75,55,55,55,3/27/2023,2,600,200
76,56,56,56,3/28/2023,8,4000,2400
77,57,57,57,3/29/2023,3,1200,600
78,58,58,58,3/30/2023,5,800,400
79,59,59,59,3/31/2023,10,1000,400
80,60,60,60,4/1/2023,6,1800,900
81,41,61,61,4/2/2023,3,240,120
82,42,62,62,4/3/2023,5,1000,500
83,43,63,63,4/4/2023,7,8400,4200
84,44,64,64,4/5/2023,2,500,200
85,45,65,65,4/6/2023,4,1200,400
86,46,66,66,4/7/2023,6,300,150
87,47,67,67,4/8/2023,1,500,200
88,48,68,68,4/9/2023,8,2400,1600
89,49,69,69,4/10/2023,4,320,160
90,50,70,70,4/11/2023,3,300,120
91,51,71,71,4/12/2023,9,5400,2700
92,52,72,72,4/13/2023,5,2000,1000
93,53,73,73,4/14/2023,7,5600,2800
94,54,74,74,4/15/2023,2,480,240
95,55,75,75,4/16/2023,6,1800,600
96,56,76,76,4/17/2023,4,1600,960
97,57,77,77,4/18/2023,1,400,200
98,58,78,78,4/19/2023,8,1280,640
99,59,79,79,4/20/2023,3,300,120
100,60,80,80,4/21/2023,7,2100,1050
101,61,81,81,4/22/2023,5,400,200
102,62,82,82,4/23/2023,8,1600,800
103,63,83,83,4/24/2023,3,3600,1800
104,64,84,84,4/25/2023,6,1500,600
105,65,85,85,4/26/2023,2,600,200
106,66,86,86,4/27/2023,9,450,225
107,67,87,87,4/28/2023,1,1000,400
108,68,88,88,4/29/2023,4,1200,800
109,69,89,89,4/30/2023,7,560,280
110,70,90,90,5/1/2023,5,500,200
111,71,91,91,5/2/2023,3,1800,900
112,72,92,92,5/3/2023,8,3200,1600
113,73,93,93,5/4/2023,6,4800,2400
114,74,94,94,5/5/2023,1,240,120
115,75,95,95,5/6/2023,4,1200,400
116,76,96,96,5/7/2023,7,2800,1680
117,77,97,97,5/8/2023,2,600,300
118,78,98,98,5/9/2023,9,1440,720
119,79,99,99,5/10/2023,5,500,200
120,80,100,100,5/11/2023,3,900,450
121,81,101,101,5/12/2023,4,320,160
122,82,102,102,5/13/2023,6,2400,1200
123,83,103,103,5/14/2023,2,2400,1200
124,84,104,104,5/15/2023,7,1750,700
125,85,105,105,5/16/2023,3,900,300
126,86,106,106,5/17/2023,5,250,125
127,87,107,107,5/18/2023,8,800,400
128,88,108,108,5/19/2023,1,300,150
129,89,109,109,5/20/2023,6,480,240
130,90,110,110,5/21/2023,9,900,450
131,91,111,111,5/22/2023,4,2400,1200
132,92,112,112,5/23/2023,7,5600,2800
133,93,113,113,5/24/2023,2,1600,800
134,94,114,114,5/25/2023,5,500,250
135,95,115,115,5/26/2023,8,3200,1600
136,96,116,116,5/27/2023,3,1800,900
137,97,117,117,5/28/2023,6,1200,600
138,98,118,118,5/29/2023,1,100,50
139,99,119,119,5/30/2023,9,900,450
140,100,120,120,5/31/2023,4,400,200
141,101,121,121,6/1/2023,5,800,400
